 mode no    eigenvalue   Sum(1/eigenvalue)
         207   5.9603539       30.478312    
         208   5.9546199       30.646248    
         209   5.9391885       30.814621    
         210   5.9379640       30.983028    
         211   5.9294128       31.151680    
         212   5.9253969       31.320444    
         213   5.9165616       31.489462    
         214   5.9087791       31.658701    
         215   5.9017186       31.828142    
         216   5.9005013       31.997620    
         217   5.8852739       32.167534    
         218   5.8795056       32.337616    
         219   5.8765397       32.507786    
         220   5.8670721       32.678230    
         221   5.8658843       32.848709    
         222   5.8611965       33.019321    
         223   5.8532672       33.190166    
         224   5.8463368       33.361214    
         225   5.8393130       33.532467    
         226   5.8318868       33.703938    
         227   5.8285542       33.875507    
         228   5.8260212       34.047150    
         229   5.8227854       34.218887    
         230   5.8156524       34.390839    
         231   5.8124390       34.562885    
         232   5.8068633       34.735096    
         233   5.7888141       34.907845    
         234   5.7874384       35.080631    
         235   5.7781067       35.253696    
         236   5.7743273       35.426876    
         237   5.7711434       35.600151    
         238   5.7661347       35.773579    
         239   5.7640848       35.947067    
         240   5.7622876       36.120609    
         241   5.7546048       36.294384    
         242   5.7446947       36.468456    
         243   5.7410789       36.642639    
         244   5.7317524       36.817104    
         245   5.7235546       36.991821    
         246   5.7167611       37.166744    
         247   5.7105346       37.341858    
         248   5.7024865       37.517220    
         249   5.7012305       37.692619    
         250   5.6954551       37.868198    
         251   5.6904111       38.043934    
         252   5.6853280       38.219826    
         253   5.6826763       38.395798    
         254   5.6758742       38.571983    
         255   5.6739101       38.748230    
         256   5.6694379       38.924614    
         257   5.6601334       39.101288    
         258   5.6534657       39.278172    
         259   5.6456938       39.455299    
         260   5.6399860       39.632607    
         261   5.6352530       39.810062    
         262   5.6328397       39.987595    
         263   5.6262016       40.165333    
         264   5.6200752       40.343266    
         265   5.6164474       40.521313    
         266   5.6089067       40.699600    
         267   5.6060042       40.877979    
         268   5.6011276       41.056515    
         269   5.5934272       41.235294    
         270   5.5885406       41.414230    
         271   5.5832691       41.593338    
         272   5.5766315       41.772659    
         273   5.5734272       41.952084    
         274   5.5676703       42.131691    
         275   5.5669804       42.311321    
         276   5.5625701       42.491093    
         277   5.5589747       42.670982    
         278   5.5535665       42.851048    
         279   5.5509424       43.031197    
         280   5.5492086       43.211403    
         281   5.5421009       43.391838    
         282   5.5398421       43.572350    
         283   5.5308704       43.753155    
         284   5.5260882       43.934116    
         285   5.5205708       44.115257    
         286   5.5198483       44.296421    
         287   5.5135508       44.477791    
         288   5.5070972       44.659374    
         289   5.5019693       44.841125    
         290   5.4991555       45.022972    
         291   5.4983077       45.204845    
         292   5.4934874       45.386879    
         293   5.4885464       45.569077    
         294   5.4830575       45.751457    
         295   5.4805932       45.933918    
         296   5.4783039       46.116455    
         297   5.4734550       46.299156    
         298   5.4701109       46.481968    
         299   5.4653997       46.664936    
         300   5.4651484       46.847912    
         301   5.4565225       47.031178    
         302   5.4525366       47.214577    
         303   5.4515486       47.398010    
         304   5.4477096       47.581573    
         305   5.4414835       47.765347    
         306   5.4330840       47.949406    
         307   5.4309154       48.133537    
         308   5.4249029       48.317871    
         309   5.4214201       48.502323    
         310   5.4185467       48.686874    
         311   5.4173913       48.871464    
         312   5.4155931       49.056114    
         313   5.4114480       49.240906    
         314   5.4016538       49.426033    
         315   5.3985033       49.611271    
         316   5.3944840       49.796646    
         317   5.3916316       49.982121    
         318   5.3909178       50.167618    
         319   5.3854327       50.353302    
         320   5.3795991       50.539188    
         321   5.3779445       50.725132    
         322   5.3752384       50.911171    
         323   5.3722138       51.097313    
         324   5.3627391       51.283783    
         325   5.3598447       51.470356    
         326   5.3559322       51.657066    
         327   5.3532572       51.843868    
         328   5.3476863       52.030865    
         329   5.3436399       52.218002    
         330   5.3396163       52.405281    
         331   5.3330364       52.592793    
         332   5.3306274       52.780388    
         333   5.3266296       52.968124    
         334   5.3237147       53.155964    
         335   5.3163767       53.344063    
         336   5.3152366       53.532200    
         337   5.3124981       53.720436    
         338   5.3092093       53.908787    
         339   5.3055654       54.097267    
         340   5.2973514       54.286041    
         341   5.2947507       54.474907    
         342   5.2913232       54.663895    
         343   5.2879014       54.853004    
         344   5.2869658       55.042149    
         345   5.2838697       55.231403    
         346   5.2796068       55.420811    
         347   5.2776318       55.610291    
         348   5.2772908       55.799782    
         349   5.2708426       55.989506    
         350   5.2660117       56.179401    
         351   5.2643242       56.369358    
         352   5.2612891       56.559425    
         353   5.2589588       56.749577    
         354   5.2556186       56.939850    
         355   5.2508774       57.130295    
         356   5.2486396       57.320820    
         357   5.2432709       57.511539    
         358   5.2372651       57.702480    
         359   5.2331147       57.893570    
         360   5.2304945       58.084755    
         361   5.2275877       58.276047    
         362   5.2266278       58.467373    
         363   5.2233286       58.658821    
         364   5.2188082       58.850437    
         365   5.2099395       59.042377    
         366   5.2085996       59.234367    
         367   5.2039742       59.426529    
         368   5.1993365       59.618862    
         369   5.1929989       59.811428    
         370   5.1918283       60.004040    
         371   5.1872106       60.196823    
         372   5.1844678       60.389706    
         373   5.1794171       60.582779    
         374   5.1780901       60.775902    
         375   5.1751547       60.969131    
         376   5.1738710       61.162411    
         377   5.1684980       61.355892    
         378   5.1617169       61.549625    
         379   5.1595035       61.743443    
         380   5.1572280       61.937344    
         381   5.1516237       62.131458    
         382   5.1472640       62.325737    
         383   5.1443839       62.520123    
         384   5.1428299       62.714569    
         385   5.1387620       62.909168    
         386   5.1336823       63.103962    
         387   5.1276779       63.298981    
         388   5.1240401       63.494141    
         389   5.1176534       63.689541    
         390   5.1162171       63.884998    
         391   5.1147690       64.080513    
         392   5.1132922       64.276085    
         393   5.1091456       64.471809    
